x={1, 1}, y=1, f(x)=0.47, L=0.75	
x={0, 0}, y=0, f(x)=0.51, L=0.71	
x={0, 0}, y=0, f(x)=0.50, L=0.68	
x={0, 0}, y=0, f(x)=0.48, L=0.66	
x={0, 1}, y=1, f(x)=0.64, L=0.44	
x={1, 0}, y=1, f(x)=0.76, L=0.28	
x={1, 0}, y=1, f(x)=0.77, L=0.26	
x={1, 1}, y=1, f(x)=0.88, L=0.13	
x={0, 0}, y=0, f(x)=0.49, L=0.68	
x={0, 1}, y=1, f(x)=0.66, L=0.41	
x={1, 1}, y=1, f(x)=0.88, L=0.12	
x={1, 1}, y=1, f(x)=0.89, L=0.12	
x={1, 0}, y=1, f(x)=0.78, L=0.24	
x={1, 0}, y=1, f(x)=0.79, L=0.23	
x={1, 1}, y=1, f(x)=0.90, L=0.11	
x={0, 0}, y=0, f(x)=0.51, L=0.71	
x={0, 0}, y=0, f(x)=0.50, L=0.69	
x={1, 1}, y=1, f(x)=0.89, L=0.11	
x={0, 1}, y=1, f(x)=0.68, L=0.38	
x={1, 1}, y=1, f(x)=0.90, L=0.10	
x={1, 1}, y=1, f(x)=0.90, L=0.10	
x={0, 1}, y=1, f(x)=0.71, L=0.35	
x={0, 1}, y=1, f(x)=0.72, L=0.33	
x={0, 1}, y=1, f(x)=0.73, L=0.32	
x={1, 1}, y=1, f(x)=0.92, L=0.08	
x={1, 1}, y=1, f(x)=0.92, L=0.08	
x={1, 0}, y=1, f(x)=0.82, L=0.20	
x={1, 1}, y=1, f(x)=0.93, L=0.08	
x={0, 0}, y=0, f(x)=0.53, L=0.76	
x={0, 1}, y=1, f(x)=0.74, L=0.30	
x={1, 0}, y=1, f(x)=0.82, L=0.20	
x={1, 1}, y=1, f(x)=0.93, L=0.07	
x={1, 0}, y=1, f(x)=0.83, L=0.19	
x={0, 0}, y=0, f(x)=0.53, L=0.77	
x={0, 0}, y=0, f(x)=0.52, L=0.74	
x={0, 0}, y=0, f(x)=0.51, L=0.71	
x={0, 0}, y=0, f(x)=0.50, L=0.68	
x={0, 0}, y=0, f(x)=0.48, L=0.66	
x={0, 1}, y=1, f(x)=0.71, L=0.34	
x={1, 0}, y=1, f(x)=0.80, L=0.22	
x={0, 1}, y=1, f(x)=0.73, L=0.32	
x={1, 1}, y=1, f(x)=0.93, L=0.08	
x={0, 1}, y=1, f(x)=0.74, L=0.30	
x={0, 0}, y=0, f(x)=0.50, L=0.69	
x={0, 0}, y=0, f(x)=0.49, L=0.67	
x={1, 1}, y=1, f(x)=0.92, L=0.08	
x={0, 0}, y=0, f(x)=0.48, L=0.65	
x={1, 1}, y=1, f(x)=0.92, L=0.08	
x={1, 0}, y=1, f(x)=0.80, L=0.22	
x={0, 0}, y=0, f(x)=0.47, L=0.64	
x={1, 1}, y=1, f(x)=0.92, L=0.08	
x={1, 1}, y=1, f(x)=0.93, L=0.08	
x={0, 1}, y=1, f(x)=0.73, L=0.32	
x={1, 1}, y=1, f(x)=0.93, L=0.07	
x={0, 0}, y=0, f(x)=0.47, L=0.64	
x={1, 0}, y=1, f(x)=0.80, L=0.22	
x={1, 0}, y=1, f(x)=0.81, L=0.21	
x={1, 1}, y=1, f(x)=0.93, L=0.07	
x={0, 0}, y=0, f(x)=0.47, L=0.64	
x={1, 0}, y=1, f(x)=0.81, L=0.21	
x={1, 0}, y=1, f(x)=0.81, L=0.21	
x={1, 0}, y=1, f(x)=0.82, L=0.20	
x={0, 0}, y=0, f(x)=0.47, L=0.64	
x={1, 0}, y=1, f(x)=0.82, L=0.20	
x={0, 0}, y=0, f(x)=0.47, L=0.63	
x={0, 0}, y=0, f(x)=0.45, L=0.61	
x={1, 1}, y=1, f(x)=0.93, L=0.07	
x={1, 0}, y=1, f(x)=0.81, L=0.21	
x={1, 1}, y=1, f(x)=0.94, L=0.07	
x={1, 0}, y=1, f(x)=0.82, L=0.20	
x={1, 1}, y=1, f(x)=0.94, L=0.06	
x={1, 1}, y=1, f(x)=0.94, L=0.06	
x={0, 1}, y=1, f(x)=0.74, L=0.30	
x={0, 1}, y=1, f(x)=0.75, L=0.29	
x={1, 1}, y=1, f(x)=0.95, L=0.05	
x={1, 1}, y=1, f(x)=0.95, L=0.05	
x={1, 1}, y=1, f(x)=0.95, L=0.05	
x={1, 1}, y=1, f(x)=0.95, L=0.05	
x={1, 0}, y=1, f(x)=0.84, L=0.17	
x={1, 0}, y=1, f(x)=0.85, L=0.17	
x={1, 0}, y=1, f(x)=0.85, L=0.16	
x={1, 1}, y=1, f(x)=0.95, L=0.05	
x={0, 1}, y=1, f(x)=0.78, L=0.25	
x={0, 0}, y=0, f(x)=0.49, L=0.68	
x={0, 1}, y=1, f(x)=0.77, L=0.26	
x={0, 0}, y=0, f(x)=0.49, L=0.67	
x={0, 0}, y=0, f(x)=0.48, L=0.65	
x={1, 0}, y=1, f(x)=0.84, L=0.17	
x={1, 0}, y=1, f(x)=0.85, L=0.17	
x={1, 1}, y=1, f(x)=0.96, L=0.05	
x={1, 1}, y=1, f(x)=0.96, L=0.05	
x={0, 1}, y=1, f(x)=0.77, L=0.26	
x={0, 0}, y=0, f(x)=0.48, L=0.65	
x={0, 1}, y=1, f(x)=0.77, L=0.26	
x={0, 1}, y=1, f(x)=0.78, L=0.25	
x={1, 0}, y=1, f(x)=0.85, L=0.16	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={1, 1}, y=1, f(x)=0.96, L=0.04	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.49, L=0.67	
x={0, 1}, y=1, f(x)=0.79, L=0.24	
x={0, 1}, y=1, f(x)=0.80, L=0.23	
x={0, 0}, y=0, f(x)=0.49, L=0.67	
x={0, 0}, y=0, f(x)=0.48, L=0.65	
x={1, 1}, y=1, f(x)=0.96, L=0.04	
x={1, 1}, y=1, f(x)=0.96, L=0.04	
x={1, 1}, y=1, f(x)=0.96, L=0.04	
x={0, 0}, y=0, f(x)=0.47, L=0.63	
x={0, 1}, y=1, f(x)=0.78, L=0.25	
x={0, 1}, y=1, f(x)=0.79, L=0.24	
x={0, 1}, y=1, f(x)=0.80, L=0.23	
x={1, 1}, y=1, f(x)=0.97, L=0.04	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={0, 1}, y=1, f(x)=0.81, L=0.21	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={0, 1}, y=1, f(x)=0.81, L=0.21	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={1, 0}, y=1, f(x)=0.87, L=0.14	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={0, 0}, y=0, f(x)=0.49, L=0.68	
x={1, 0}, y=1, f(x)=0.87, L=0.14	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={0, 1}, y=1, f(x)=0.82, L=0.20	
x={1, 0}, y=1, f(x)=0.87, L=0.14	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={0, 1}, y=1, f(x)=0.83, L=0.19	
x={0, 1}, y=1, f(x)=0.83, L=0.18	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={0, 0}, y=0, f(x)=0.50, L=0.70	
x={0, 1}, y=1, f(x)=0.83, L=0.18	
x={0, 0}, y=0, f(x)=0.50, L=0.69	
x={0, 1}, y=1, f(x)=0.83, L=0.19	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={0, 1}, y=1, f(x)=0.84, L=0.18	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={0, 0}, y=0, f(x)=0.50, L=0.69	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={0, 0}, y=0, f(x)=0.49, L=0.67	
x={0, 1}, y=1, f(x)=0.83, L=0.19	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={0, 0}, y=0, f(x)=0.49, L=0.68	
x={0, 1}, y=1, f(x)=0.84, L=0.18	
x={0, 1}, y=1, f(x)=0.84, L=0.17	
x={0, 1}, y=1, f(x)=0.85, L=0.17	
x={0, 1}, y=1, f(x)=0.85, L=0.16	
x={0, 0}, y=0, f(x)=0.49, L=0.68	
x={0, 0}, y=0, f(x)=0.48, L=0.66	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={0, 0}, y=0, f(x)=0.47, L=0.64	
x={0, 0}, y=0, f(x)=0.46, L=0.61	
x={0, 1}, y=1, f(x)=0.83, L=0.19	
x={0, 0}, y=0, f(x)=0.45, L=0.60	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={0, 1}, y=1, f(x)=0.83, L=0.19	
x={0, 0}, y=0, f(x)=0.45, L=0.59	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.44, L=0.58	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={0, 0}, y=0, f(x)=0.43, L=0.56	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={1, 1}, y=1, f(x)=0.98, L=0.03	
x={0, 0}, y=0, f(x)=0.43, L=0.56	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={0, 1}, y=1, f(x)=0.82, L=0.20	
x={0, 0}, y=0, f(x)=0.43, L=0.56	
x={0, 0}, y=0, f(x)=0.42, L=0.54	
x={0, 0}, y=0, f(x)=0.41, L=0.52	
x={1, 1}, y=1, f(x)=0.97, L=0.03	
x={0, 0}, y=0, f(x)=0.40, L=0.50	
x={0, 1}, y=1, f(x)=0.80, L=0.22	
x={0, 0}, y=0, f(x)=0.39, L=0.50	
x={1, 0}, y=1, f(x)=0.84, L=0.17	
x={0, 1}, y=1, f(x)=0.80, L=0.22	
x={1, 0}, y=1, f(x)=0.85, L=0.16	
x={1, 0}, y=1, f(x)=0.85, L=0.16	
x={0, 1}, y=1, f(x)=0.81, L=0.21	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.41, L=0.53	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.40, L=0.51	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={0, 0}, y=0, f(x)=0.40, L=0.51	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.39, L=0.50	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={0, 1}, y=1, f(x)=0.81, L=0.21	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={0, 1}, y=1, f(x)=0.81, L=0.21	
x={1, 0}, y=1, f(x)=0.86, L=0.15	
x={1, 0}, y=1, f(x)=0.87, L=0.14	
x={0, 0}, y=0, f(x)=0.39, L=0.50	
x={0, 1}, y=1, f(x)=0.81, L=0.21	
x={1, 0}, y=1, f(x)=0.87, L=0.14	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={0, 1}, y=1, f(x)=0.82, L=0.20	
x={0, 1}, y=1, f(x)=0.82, L=0.20	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={0, 1}, y=1, f(x)=0.82, L=0.20	
x={0, 1}, y=1, f(x)=0.83, L=0.19	
x={1, 0}, y=1, f(x)=0.87, L=0.14	
x={1, 0}, y=1, f(x)=0.87, L=0.14	
x={1, 0}, y=1, f(x)=0.87, L=0.13	
x={0, 1}, y=1, f(x)=0.84, L=0.18	
x={0, 1}, y=1, f(x)=0.84, L=0.17	
x={0, 1}, y=1, f(x)=0.84, L=0.17	
x={0, 0}, y=0, f(x)=0.41, L=0.53	
x={0, 1}, y=1, f(x)=0.84, L=0.17	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={0, 0}, y=0, f(x)=0.40, L=0.52	
x={0, 0}, y=0, f(x)=0.39, L=0.50	
x={1, 0}, y=1, f(x)=0.87, L=0.14	
x={1, 0}, y=1, f(x)=0.87, L=0.13	
x={0, 0}, y=0, f(x)=0.39, L=0.50	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={0, 0}, y=0, f(x)=0.38, L=0.48	
x={0, 1}, y=1, f(x)=0.83, L=0.19	
x={0, 1}, y=1, f(x)=0.84, L=0.18	
x={0, 1}, y=1, f(x)=0.84, L=0.17	
x={1, 0}, y=1, f(x)=0.87, L=0.13	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={1, 0}, y=1, f(x)=0.87, L=0.14	
x={0, 1}, y=1, f(x)=0.84, L=0.17	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={0, 1}, y=1, f(x)=0.84, L=0.17	
x={1, 1}, y=1, f(x)=0.98, L=0.02	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={0, 0}, y=0, f(x)=0.38, L=0.48	
x={0, 1}, y=1, f(x)=0.84, L=0.17	
x={0, 1}, y=1, f(x)=0.85, L=0.17	
x={0, 1}, y=1, f(x)=0.85, L=0.16	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={0, 0}, y=0, f(x)=0.38, L=0.47	
x={0, 1}, y=1, f(x)=0.85, L=0.17	
x={0, 1}, y=1, f(x)=0.85, L=0.16	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.85, L=0.16	
x={0, 1}, y=1, f(x)=0.86, L=0.15	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={0, 1}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.38, L=0.48	
x={0, 1}, y=1, f(x)=0.86, L=0.15	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={0, 0}, y=0, f(x)=0.38, L=0.48	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.88, L=0.12	
x={0, 0}, y=0, f(x)=0.38, L=0.47	
x={0, 1}, y=1, f(x)=0.86, L=0.15	
x={0, 1}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.38, L=0.47	
x={1, 0}, y=1, f(x)=0.88, L=0.13	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.88, L=0.12	
x={1, 0}, y=1, f(x)=0.89, L=0.12	
x={1, 0}, y=1, f(x)=0.89, L=0.12	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.89, L=0.12	
x={1, 0}, y=1, f(x)=0.89, L=0.11	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={0, 0}, y=0, f(x)=0.38, L=0.48	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={1, 0}, y=1, f(x)=0.89, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 0}, y=0, f(x)=0.38, L=0.47	
x={0, 0}, y=0, f(x)=0.37, L=0.46	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.86, L=0.15	
x={1, 0}, y=1, f(x)=0.89, L=0.12	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.89, L=0.12	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.89, L=0.11	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={1, 0}, y=1, f(x)=0.90, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.90, L=0.11	
x={1, 0}, y=1, f(x)=0.90, L=0.11	
x={0, 1}, y=1, f(x)=0.88, L=0.13	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.90, L=0.10	
x={1, 0}, y=1, f(x)=0.90, L=0.10	
x={0, 0}, y=0, f(x)=0.39, L=0.49	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.88, L=0.13	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.90, L=0.10	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.91, L=0.10	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.91, L=0.10	
x={0, 1}, y=1, f(x)=0.89, L=0.12	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 0}, y=0, f(x)=0.39, L=0.50	
x={0, 0}, y=0, f(x)=0.38, L=0.49	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.90, L=0.10	
x={0, 0}, y=0, f(x)=0.38, L=0.48	
x={0, 0}, y=0, f(x)=0.37, L=0.46	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.90, L=0.10	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.90, L=0.10	
x={1, 0}, y=1, f(x)=0.90, L=0.10	
x={1, 0}, y=1, f(x)=0.91, L=0.10	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.88, L=0.13	
x={0, 1}, y=1, f(x)=0.88, L=0.12	
x={0, 0}, y=0, f(x)=0.38, L=0.48	
x={0, 0}, y=0, f(x)=0.37, L=0.46	
x={0, 0}, y=0, f(x)=0.36, L=0.45	
x={0, 0}, y=0, f(x)=0.35, L=0.44	
x={1, 0}, y=1, f(x)=0.90, L=0.11	
x={0, 0}, y=0, f(x)=0.35, L=0.43	
x={0, 0}, y=0, f(x)=0.34, L=0.42	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.89, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.34, L=0.41	
x={1, 0}, y=1, f(x)=0.89, L=0.11	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={0, 0}, y=0, f(x)=0.34, L=0.41	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.89, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 0}, y=0, f(x)=0.33, L=0.40	
x={1, 0}, y=1, f(x)=0.89, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 0}, y=0, f(x)=0.33, L=0.40	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.89, L=0.11	
x={0, 1}, y=1, f(x)=0.86, L=0.15	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={0, 0}, y=0, f(x)=0.33, L=0.40	
x={1, 0}, y=1, f(x)=0.89, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={0, 1}, y=1, f(x)=0.87, L=0.14	
x={0, 1}, y=1, f(x)=0.88, L=0.13	
x={0, 1}, y=1, f(x)=0.88, L=0.13	
x={0, 0}, y=0, f(x)=0.34, L=0.41	
x={0, 1}, y=1, f(x)=0.88, L=0.13	
x={1, 0}, y=1, f(x)=0.90, L=0.11	
x={0, 1}, y=1, f(x)=0.88, L=0.13	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.88, L=0.12	
x={0, 1}, y=1, f(x)=0.89, L=0.12	
x={0, 1}, y=1, f(x)=0.89, L=0.12	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.91, L=0.10	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.91, L=0.10	
x={0, 1}, y=1, f(x)=0.89, L=0.11	
x={0, 1}, y=1, f(x)=0.89, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={1, 0}, y=1, f(x)=0.91, L=0.09	
x={1, 0}, y=1, f(x)=0.91, L=0.09	
x={1, 0}, y=1, f(x)=0.92, L=0.09	
x={1, 0}, y=1, f(x)=0.92, L=0.09	
x={0, 0}, y=0, f(x)=0.37, L=0.46	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.92, L=0.09	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.92, L=0.09	
x={1, 0}, y=1, f(x)=0.92, L=0.08	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 0}, y=0, f(x)=0.37, L=0.46	
x={0, 0}, y=0, f(x)=0.36, L=0.45	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 0}, y=0, f(x)=0.36, L=0.44	
x={0, 0}, y=0, f(x)=0.35, L=0.43	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={1, 0}, y=1, f(x)=0.91, L=0.09	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.90, L=0.10	
x={1, 0}, y=1, f(x)=0.92, L=0.09	
x={0, 0}, y=0, f(x)=0.35, L=0.44	
x={0, 0}, y=0, f(x)=0.35, L=0.42	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={1, 0}, y=1, f(x)=0.91, L=0.09	
x={0, 0}, y=0, f(x)=0.34, L=0.42	
x={0, 0}, y=0, f(x)=0.33, L=0.40	
x={1, 0}, y=1, f(x)=0.91, L=0.10	
x={1, 0}, y=1, f(x)=0.91, L=0.10	
x={1, 0}, y=1, f(x)=0.91, L=0.09	
x={1, 1}, y=1, f(x)=0.99, L=0.01	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={0, 0}, y=0, f(x)=0.33, L=0.41	
x={1, 0}, y=1, f(x)=0.91, L=0.09	
x={0, 1}, y=1, f(x)=0.89, L=0.11	
x={1, 0}, y=1, f(x)=0.91, L=0.09	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={1, 0}, y=1, f(x)=0.91, L=0.09	
x={0, 0}, y=0, f(x)=0.34, L=0.41	
x={0, 1}, y=1, f(x)=0.90, L=0.11	
x={1, 0}, y=1, f(x)=0.91, L=0.09	
x={0, 0}, y=0, f(x)=0.33, L=0.41	
